code_type,code_samples,target
faulty_code,"x = [1,2]
print(x[3])",1
fixed_code,for i in range(6): print(i),0
faulty_code,"def greet(name):
    print('Hello, ' + name + '!')
    return
",1
faulty_code,"print(x)
x = 5",1
fixed_code,"try:
    with open('nonexistentfile.txt', 'r') as f:
        content = f.read()
except FileNotFoundError:
    print('File not found!')
except Exception as e:
    print(f'Unexpected error: {e}')",0
fixed_code,"for i in range(2,6):
    print(i)

a = [i for i in range(3)]
    b = [j for k in range(3)]",0
fixed_code,"def greet(name):
    return f'Hello, {name}!'
",0
faulty_code,"data = [(1, 'one'), (2, 'two'), (3, 'three')]

# Attempting to access a non-existent index
print(data[5][0])",1
fixed_code,"['for i in range(5):', '\tprint(i)', '    print(i + 1)']",0
faulty_code,"for i in range(5):<br/>
    print(i)",1
faulty_code,x = 5; print(x + 'Hello'),1
fixed_code,"def greet(name, age):
    print('Hello, ' + name + '!')
    print('You are ' + str(age) + ' years old')",0
faulty_code,"a = [1,2,3]
b = a[0:2]
c = b[::-1]
d = c[0:1]",1
fixed_code,"try:
    x = int(input('Enter a number: '))
except ValueError as e:
    print(f'Invalid input error: {e}')
except KeyboardInterrupt:
    print('Operation cancelled')",0
fixed_code,"for i in range(10):
    if i >=5:
        break
    print(i+1)",0
faulty_code,for i in range(len(prices)): if i < 5: print(i),1
faulty_code,"['short faulty example', 'medium faulty example', 'long faulty example']",1
faulty_code,"a = [1,2,3]
b.sort()
print(a)",1
fixed_code,"for i in range(len(arr)-1):
    if arr[i] > arr[i+1]:
        temp = arr[i]
        arr[i] = arr[i+1]
        arr[i+1] = temp",0
fixed_code,"my_list = ['a string', 2, 3]",0
faulty_code,"s = 'Hello'
print(s.upper())",1
faulty_code,"for i in range(10):
    print(i+1)

# Extra line added
print(5)",1
fixed_code,"['text = ""Hello, world!"";\\nprint(text[0:6]);', 'data = {\\\'name\\\': \\""John\\"", \\\'age\\\': 30};\\nprint(data[\\\'age\\\']);']",0
fixed_code,"x = 0.3
print(x)
tolerance = 1e-10
while abs(x - 1) > tolerance:
    x += 0.1
    print(x)",0
fixed_code,"my_list = [1,2,3]
if isinstance(my_list, list):
    print(int(my_list))
else:
    print('Not a list')",0
faulty_code,"[""s = 'Hello'\nprint(s[2:])"", 'for i in range(10):\n    print(i)', ""with open('nonexistent.txt', 'r') as f:\n    pass""]",1
faulty_code,"for i in range(len(list)):
    if list[i] == 'element':
        print('Found element')",1
faulty_code,"def faulty_function(n):
    for i in range(n-1):
        print(i+1)",1
faulty_code,"def greet():
    print('Hello')
    return name",1
faulty_code,"for i in range(3):
    print(i)",1
faulty_code,"a = [1,2,3]
b = a[0:2]
c = b[::-1]
d = c[::2]",1
faulty_code,"import os

with open('large_file.txt', 'rb') as f:
    data = f.read(500000)",1
fixed_code,"for i in range(6):
    if i == 5:
        print(i)",0
faulty_code,"with open('file.txt', 'r') as f:
    f.write('content')",1
fixed_code,"for i in range(11):
    print(i*2)",0
faulty_code,"['my_list = [1,2,3]\nindex = my_list.index(4)\nprint(index)', ""for i in range(len(my_list)):\n    if my_list[i] % 2 == 0:\n        print('even')\n    else:\n        print('odd')"", ""my_dict = {'a':1, 'b':2}\nkeys = len(my_dict.keys())\nprint(keys)""]",1
faulty_code,"for i in range(0, len(list)-1):
    print(list[i])",1
fixed_code,"for i in range(len(list)-1+1):
    print(list[i])",0
faulty_code,"for i in range(0, n-1):
    print(i)",1
faulty_code,"for i in range(5):
    print(i)

j = 0
for j in range(5):
    print(j)",1
fixed_code,"try:
    print(1/0)
except ZeroDivisionError:
    print('Denominator is zero')
except Exception as e:
    print(f'An error occurred: {e}')",0
fixed_code,"for i in range(0,6):
    print(i)",0
faulty_code,def factorial(n): return n * factorial(n-1) + 1,1
fixed_code,"a = [1,2,3]
a[2]",0
fixed_code,"for i in range(11):
    print(i**2)

try:
    print(some_var / 0)
except ZeroDivisionError as e:
    print(f'Division by zero: {e}')
except Exception as e:
    print('An error occurred')",0
fixed_code,"my_list = [1, 2, 3]
index = index if index >=0 else None",0
fixed_code,"my_list = [1,2,3]
my_list[2].append(4)",0
faulty_code,"n = 5
while n:
    print(n)
    input()
    if n != 0:
        break",1
faulty_code,"for i in range(10):
    print(i+1)

# This is a medium-length example with an off-by-one error.",1
fixed_code,"try:
    f = open('nonexistentfile.txt', 'r')
except FileNotFoundError as e:
    print(f'Error: {e}')",0
fixed_code,"my_list = [1,2,3]
index = my_list[-1]
print(index)",0
faulty_code,s = 'test'; print(s[3]],1
faulty_code,"for i in range(len(list)-1):
    list[i], list[i+1] = list[i+1], list[i]
list.sort()",1
fixed_code,"for i in range(len(list)):
    if list[i] == target and (i % 2) == 1:
        print('Found at index', i)
",0
faulty_code,print('Hello' + ' ' + 'world'),1
fixed_code,"for i in range(len(lst)-1):
    print(i, lst[i-1])",0
fixed_code,"try:
    with open('nonexistent.txt', 'r') as f:
        print(f.read())
except FileNotFoundError as e:
    print(f'Error: {e}')
except Exception as e:
    print(f'Unexpected error: {e}')
finally:
    print('Operation completed')
",0
fixed_code,"for i in range(len(list)-1):
    list.append(i)",0
faulty_code,"for i in range(len(a)):
    print(a[i])",1
faulty_code,"for i in range(5):
    print(i+1)

# This loop will print 1,2,3,4 but not 5 because of an off-by-one error.",1
faulty_code,"for x in [5]:
    print(x)",1
faulty_code,"for i in range(10):
    print(i)

print('Loop did not reach 10')",1
fixed_code,"""
numbers = [x**2 for x in range(10) if y == x]
print('Error: y not defined')
""
",0
faulty_code,"""hello"" + ""world""",1
faulty_code,"async def my_async_func任务列表：
    yield from asyncio.sleep(1)
    print('完成')",1
faulty_code,"my_tuple = (1, 2, 3);

my_tuple.append(4)",1
fixed_code,"numbers = [1,2,3];
sum = (sum(numbers) ) / len(numbers);
print(sum)",0
faulty_code,"x = [1,2,3]
x[0] + x[2]",1
fixed_code,"user = {'name': 'Alice', 'age': 30}; print(user.get('nonexistent_key', 'Key not found'))",0
faulty_code,"for i in range(len(s)-1):
    print(s[i])",1
faulty_code,"my_list = []
my_list[0] = 'hello'",1
fixed_code,"numbers = [1, 2, 3]
try:
    sum = sum(numbers[0:3])
except IndexError:
    print('List index out of range')
print(sum)",0
faulty_code,"lst = [1,2,3]

for i in lst:
    print(i)

print(lst)",1
faulty_code,"n = int(input())
for i in range(n + 1):
    print(i)",1
faulty_code,"try:
    file = open('nonexistentfile.txt', 'r')
except FileNotFoundError as e:
    print(f""File not found: {e}"")",1
fixed_code,"try:
    with open('nonexistent.txt') as f:
        print(f)
except FileNotFoundError:
    print('File not found')",0
faulty_code,"x = 5
x = x + 1",1
faulty_code,"my_list = [5,4,3,2,1]
print(my_list[-6])",1
fixed_code,"for i in range(len(list) + 1):
    list.append(i)
",0
faulty_code,"my_list = [1,2,3]
my_set = set(my_list)
my_list.append(4)
print(my_set - my_list)",1
faulty_code,"['for i in range(5):', '    print(i)', ""print('Hello')"", 'pass']",1
fixed_code,"for i in range(10):
    print(i)
print(i)",0
faulty_code,"print('Hello, world!')

# This is a comment",1
faulty_code,"my_list = [1, 2, 3]

my_list.append(4)
",1
faulty_code,"x = [None]
print(x + 'hello')",1
fixed_code,"for i in range(10):
    print(i*2)

# Fixed code correctly prints all multiples of 2",0
faulty_code,"for i in range(5):
    print(i",1
faulty_code,"my_list = [1, 2, 3]
my_list.append(4)
print(my_list)",1
fixed_code,"a = [1,2,3]
b.append(4)
c = a.pop() + 4
print(c)",0
faulty_code,"try:
    print(1/0)
except ZeroDivisionError:
    print('Handled')",1
fixed_code,"i = 0
while i <= 9:
    print(i)
i += 2",0
fixed_code,"for i in range(4):
    print(i)

print('The loop ended at',i)",0
fixed_code,"import csv

data = csv.reader([['Header1','Header2'], ['Row1Col1', 'Row1Col2']], delimiter=',')",0
faulty_code,"with open('file.txt', 'rb') as f:
    f.seek(0)",1
faulty_code,"print(f""{name},{age}"")",1
fixed_code,for i in range(9):,0
faulty_code,"for i in range(10):
    print(i+1)

# This code has an off-by-one error in the loop.",1
fixed_code,"for i in range(10):
    print(i)
print(i + 1)",0
fixed_code,"my_list = [1, 2]
for i in range(len(my_list) - 1):
    print(i)",0
faulty_code,"for n in range(5):
    print(n)",1
faulty_code,"from collections import Counter as c; c([1,2,2]).most_common(2)",1
fixed_code,"for i in range(1,5):
    print(i)

print('Loop completed')
",0
fixed_code,"print(""Hello, world!"")",0
faulty_code,"try:
    a = int(input('Enter an integer: '))
except ValueError:
    print('Please enter a valid number')
print(a * 2)",1
faulty_code,"[""print('Hello, world!')"", 'for i in range(3): print(i)', 'while n > 1: n = n // 2']",1
fixed_code,"counter = 0
for i in range(5):
    print(counter)
    counter +=1",0
faulty_code,"for i in range(len(list)):
    if list[i] == target:
        break",1
faulty_code,s = 'abc'; print(s[3]),1
fixed_code,total = price * 1.10,0
faulty_code,"['for i in range(10):', 'arr[5] where len(arr) ==4', ""open('nonexistent.txt', 'r').read()""]",1
fixed_code,"a = [1, 2, 3]
a[4] = 'x'",0
faulty_code,"lst = [1,2,3]
print(lst[0])",1
faulty_code,"try:
    print(1/0)
except ZeroDivisionError:
    print('Denominator cannot be zero')",1
faulty_code,"['for i in range(5): print(i)', ""def greet(n): return f'Hello {n}'"", 'my_list = [x for x in range(10) if x%2 ==0]']",1
faulty_code,"try:
    open('nonexistentfile.txt', 'r')
except FileNotFoundError
    print('File not found')",1
faulty_code,"if x == True or y == False:
    print('Yes')
    print('No')
",1
faulty_code,"def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n-1)
    return n",1
fixed_code,"my_list = [1,2,3]
try:
    my_list[3] = 'four'
except IndexError:
    pass",0
faulty_code,for i in range(10): print(i+1),1
fixed_code,"for i in range(len(nums)):
    if i < len(nums)-1:
        print(nums[i])
    else:
        break",0
fixed_code,"my_list = [1]
print(len(my_list)-1)",0
fixed_code,"a = [1,2,3]
b = a[1:] 

c = b[::-1]",0
faulty_code,"try:
    f = open('nonexistentfile.txt', 'r')
except FileNotFoundError:
    print('File not found')
print('Failed to read file')",1
fixed_code,"for i in range(10):
    print(i+1)

# The loop is correct as it currently runs from 0 to 9, printing each value plus one",0
fixed_code,"[""print('Hello, world!')"", 'for i in range(5): print(i)', 'def factorial(n): return 1 if n == 0 else n * factorial(n - 1)']",0
faulty_code,"['for i in range(2,5):', '    print(i)', ""print('The sum is', sum(range(2,5)))""]",1
faulty_code,for i in range(5):\n    print(i),1
faulty_code,"import math
math.sqrt(-4)",1
faulty_code,your faulty code here,1
fixed_code,"for i in range(len(list)):
    if i >= len(list):
        break
    print(list[i])",0
faulty_code,"for i in range(20):
    print(i)
",1
faulty_code,"[""print('Hello, world!')"", 'n = [1,2,3]\nsum(n)', ""a = {0: 'one', 1: 'two'}\nb = a.keys()\nc = list(b)"", 'import math\nmath.sqrt(-4)', 'x = [1,2,3]\ny = x', 'i = i+1']",1
faulty_code,"['for i in range(10):', '    print(i)', '    if i >5:', '        break']",1
faulty_code,if x:y: print('x is less than y'),1
faulty_code,"for i in range(3)
    print(i)",1
faulty_code,"for i in range(10):
    print(i*2)

# This code runs from 0 to 9, which is correct. What's the issue?",1
faulty_code,"for i in range(5)
    print(i)",1
faulty_code,"x = [1,2,3]
x[2].append(4)",1
faulty_code,"lst = [1, 2, 3]
print(lst[10])",1
fixed_code,"for i in range(len(numbers)):
    if i < len(numbers):
        print(numbers[i])",0
fixed_code,"for i in range(len(list)):
    print(list[i]+1)",0
faulty_code,"print('Hello, world!'
)",1
faulty_code,"a = [1,2,3]; b = a[0]; c = (b,)",1
faulty_code,"def greet(name):
    return name[0] if len(name) > 0 else None",1
faulty_code,"a = [1,2,3]
b.append(4)
c.pop()",1
faulty_code,"def greet(name):
    print('Hello, ' + name + '!')
    print('Welcome!')",1
fixed_code,"for i in range(len(arr)):
    if i < len(arr)-1:
        print(arr[i])

# Alternatively, a more concise version:
for i in range(len(arr)):
    print(arr[i] if i != len(arr)-1 else None)",0
fixed_code,"for i in range(len([])):
    pass",0
faulty_code,"for i in range(1, len(lst)): print(lst[i])",1
faulty_code,"i = 0
while i < 10:
    print(i)
i += 2",1
fixed_code,"if len(lst) == 0:
    return
for i in lst:
    print(i)",0
fixed_code,"import os

with open('large_file.txt', 'rb') as f:
    while True:
        chunk = f.read(1024)
        if not chunk:
            break
        process(chunk)",0
faulty_code,"my_list = [1, 2, 3]
print(list)",1
faulty_code,sum([i for i in range(10) if i > 5]),1
fixed_code,"print('Hello, world!')

print('This is an error')",0
faulty_code,"import pandas as pd

df = pd.DataFrame({'A': [1,2,3], 'B': ['a', 'b', 'c']})

df.iloc[0][0] = 5
",1
fixed_code,"a = [1,2,3]
if len(a) > 4:
    print('Index out of range')
else:
    print(a[4])",0
faulty_code,for i in range(3): print(i),1
fixed_code,"my_list = [1,2,3]
my_set = set(my_list)
new_list = list(my_set - {4})
print(new_list)",0
faulty_code,"for i in range(5):
    print(i+1)

print('The loop ran for 4 times')",1
faulty_code,"for i in range(10):
    if i == 5:
        break",1
faulty_code,"for i in range(len(arr)-1):
    if arr[i] > arr[i+1]:
        swap(arr[i], arr[i+1])",1
fixed_code,"for i in range(10,21):
    print(i)",0
faulty_code,"my_list = [1,2,3]
int(my_list)",1
fixed_code,"for i in range(len(arr)-1):
    arr[i] = arr[i+1]

# The loop correctly iterates through all elements except the last one",0
faulty_code,"for i in range(10):
    print(i)

# Missing base case in recursive function",1
fixed_code,"for i in range(len(numbers)):
    if i < len(numbers)-1:
        print(numbers[i])

# Or more simply:
for i in range(len(numbers)):
    print(numbers[i])",0
faulty_code,"for i in range(5):
    print(arr[i])",1
faulty_code,"for i in range(5):
    print(i+1)
print('Next')",1
faulty_code,"def greet(name):
    print('Hello, ' + name + '!')
    print('How are you?')",1
fixed_code,"with open('file.txt', 'r') as f:
    f.seek(0)
    print(f.read())",0
fixed_code,"[""s = 'Hello'\nprint(s[2:])"", 'for i in range(len(s)):\n    print(i)', ""try:\n    with open('nonexistent.txt', 'r') as f:\n        pass\nexcept FileNotFoundError:\n    print('File not found')""]",0
fixed_code,"my_list = [1, 2, 3]
my_list += [4,5]",0
faulty_code,"for i in range(10,20): print(i)",1
fixed_code,"try:
    if os.path.exists('nonexistentfile.txt'):
        open('nonexistentfile.txt', 'r')
    else:
        print('File not found')
except IOError:
    print('Failed to read file')
",0
fixed_code,"for i in range(6):
    if i > 0:
        print(i - 1)",0
faulty_code,"def calculate_average(numbers):
    total = 0
    for i in range(len(numbers) - 1):
        total += numbers[i]
    return total / len(numbers)
",1
faulty_code,"s = 'Hello
World'
temp = s[:-1]",1
faulty_code,"def my_func(a, b):
    return a % b",1
fixed_code,"for i in range(len(lst)-1):
    print(lst[i+1])",0
fixed_code,"for i in range(10):
    print(i+1)

# Fixed version without the off-by-one error
for i in range(5,20,1):
    print(i)",0
fixed_code,for i in range(len(list)):,0
fixed_code,"my_list = [5]
print(my_list[0])",0
faulty_code,"class A:
    class B:
        pass
    C",1
fixed_code,"my_list = [1,2,3]
my_list.reverse()
print(my_list[-1])",0
fixed_code,"my_list = [1,2,3]
print(my_list[3] + 0)",0
faulty_code,"for i in range(5):
    print(i)
print('Loop ended at', i)",1
faulty_code,"for i in range(5):
    print(i+1)

# This loop runs from 0 to 4 inclusive but prints 1 to 5",1
fixed_code,"import csv

with open('data.csv', 'r') as file:
    reader = csv.DictReader(file)
    for row in reader:
        print(row['Name'], row['Age'])
",0
faulty_code,"for i in range(1, n): print(i)",1
faulty_code,"print('Hello, world!', end='\n\n')",1
faulty_code,"for i in range(5):
    print(i+1)

# This code will cause an IndexError as it tries to access index 5 of a list with only four elements.",1
faulty_code,"for i in range(5):
    print(lst[i])",1
faulty_code,"try:
    x = int(input())
except ValueError:
    print('Please enter a valid number')",1
faulty_code,"for i in range(len(numbers)-1):
    print(numbers[i])

# This loop misses the last element because it stops at len(numbers)-2",1
fixed_code,"a = [1, 2, 3]
b = a.copy() + [4,5,6]
print(b)",0
faulty_code,"s = ""test string""
if s.count(""x"") > 0:
    print(""found"")",1
fixed_code,"s = 'Hello\nWorld'
print(s)",0
faulty_code,"def my_func():
    print(sqrt(4))",1
faulty_code,"def greet(name):
    print('Hello, ' + name + '!')
name = 'Alice'
print(greet)",1
fixed_code,"my_list = [5,3,7]
for x in my_list:
    print(x)
print(my_list2)",0
fixed_code,"for i in range(5,10): print(i)",0
fixed_code,"for i in range(5, 0, -1):
    print(i)",0
faulty_code,"try:
    list.pop(index=10)
except IndexError:
    print('Index not found')",1
faulty_code,"def my_function(lst):
    for i in range(len(lst)):
        if lst[i] > lst[i+1]:
            # do something",1
fixed_code,"import math
import random

def normal(mean, var):
    return math.sqrt(var) * random.gauss(mean, var)",0
faulty_code,"for i in range(5):
    my_list[i] += 1",1
fixed_code,"for i in range(len(list)-1):
    if list[i] > list[i+1]:
        temp = list[i]
        list[i] = list[i+1]
        list[i+1] = temp
",0
fixed_code,"def greet(name):
    print(""Hello"", name)
greet(""Alice"")",0
fixed_code,"a = [1,2]
print(a[2])",0
fixed_code,"def greet(name):
    return 'Hello, ' + name + '!'

# The fixed version removes the unnecessary print statement and returns directly.",0
fixed_code,"my_list = [1,2,3]
my_list.append(4)",0
faulty_code,"for i in range(5):
    print(i+1)

# This loop runs from 0 to 4, so it actually prints 1 to 5
# But if the intention was to run from 1 to 5, the range should be range(6)",1
fixed_code,"for i in range(10):
    print(i+2)",0
fixed_code,"s = ""Hello, world
This is a multi-line string
with embedded commas""
print(s)",0
fixed_code,"user_input = input().strip()
passw = user_input
if passw.lower() == 'secret':
    print('Access granted!')
else:
    print('Incorrect password.')",0
faulty_code,"numbers = [1,2,3]
numbers[::-1]",1
faulty_code,"max = [5,2,9][::-1]",1
faulty_code,"for i in range(len(numbers)):
    if numbers[i] > 5:
        print('Numbers are too high')

print('All numbers are <=5')",1
fixed_code,"import os
try:
    with open('file.txt', 'r') as f:
        f.write('content')
except IOError:
    print('File not found or permission denied')
finally:
    os.close('all')",0
faulty_code,"my_list = [1,2,3]
print(my_list[-1])",1
faulty_code,"x = [1,2,3]
x.sort()
print(x)",1
fixed_code,"x = input().strip()
print(x)",0
fixed_code,def my_func(*args): print(len(args)),0
faulty_code,"for i in range(10):
    print(i)
    if i == 5:",1
fixed_code,"def greet(name):
    return f'Hello, {name}!'

# This example demonstrates string formatting instead of concatenation.",0
faulty_code,"for i in range(10):
    print(i+1)

# This loop prints numbers from 1 to 10 inclusive, but the index starts at 0. The intended behavior was to print numbers from 1 to 10.",1
fixed_code,"lst = [1,2];
print(lst[1])",0
fixed_code,"i = 0
while i < 10:
    print(i)
    i += 1
",0
faulty_code,"for i in range(10):
    print(i*2)

# This loop runs from 0 to 9, which may not be intended.",1
faulty_code,"for i in range(len(nums)-1):
    nums[i] = nums[i+1]
",1
fixed_code,"try:
    a = int(input('Enter a number: '))
except ValueError as e:
    print(f'Invalid input: {e}')
except KeyboardInterrupt:
    print('Operation cancelled')",0
fixed_code,"for i in range(10, 20): print(i)",0
fixed_code,"for i in range(5):
    print(i+1)

else:
    pass",0
faulty_code,"numbers = [1,2,3]
sum(numbers[0] + numbers[1] + numbers[2])",1
faulty_code,"for i in range(len(list)):
    if list[i] == target:
        return list[i+1]
else:
    return None",1
fixed_code,"data = [{'name': 'Alice', 'age': 30}, {'name': 'Bob', 'age': 25}]
age = [person['age'] for person in data]
max_age = max(age)",0
fixed_code,"['for i in range(6):', '    print(i)', ""print('All items processed')""]",0
fixed_code,"import threading
threading.startMainThread()
threading.join(1.0)
",0
fixed_code,"import os; try: os.path.join('folder', 'nonexistentfile.txt'); except FileNotFoundError: pass",0
faulty_code,"['for i in range(len(s))', ""s = s + 'test'"", 'sum(x for x in [])']",1
fixed_code,for i in range(11):,0
faulty_code,"yield 1
yield 2",1
fixed_code,"for i in range(len(my_list) + 1):
    if i < len(my_list):
        print(my_list[i])
    else:
        print(""Index out of bounds"")
print(""Loop ended"")",0
fixed_code,"while i <= n:
    i += 1",0
fixed_code,"for i in range(10):
    print(i)

print('Missing item')

# No, the loop is correct. The issue was with an incorrect comment.",0
fixed_code,"for i in range(len(list)-1):
    list.pop(i)",0
fixed_code,"for i in range(5):
    print(i+1)

",0
faulty_code,"for i in range(5):
    print(i)

print('Missing item')",1
faulty_code,"['short_snippet_with_error', 'medium_snippet_with_error', 'long_snippet_with_error']",1
fixed_code,"for i in range(10, 20):
    print(i)
",0
faulty_code,"for i in lst:
    print(i)",1
fixed_code,for i in range(3): print(i+1),0
fixed_code,"['my_list = [x for x in range(5) if x%2] as list', ""my_string = 'Hello' + str('world')"", 'for i in range(5): print(i+1)']",0
faulty_code,"import pandas as pd

try:
  df = pd.read_csv('nonexistent_file.csv')
except FileNotFoundError:
  print('File not found!')",1
faulty_code,"['short_faulty.py', 'medium_faulty.py', 'long_faulty.py']",1
fixed_code,"for i in range(6, 11):
    print(i)",0
faulty_code,"a = [1,2,3]
b.append(a[0])",1
fixed_code,"my_list = [1,2,3]
tuple_list = tuple(my_list)
print(tuple_list[0])",0
fixed_code,"a = [1,2,3]
b.pop(0)
a.pop(0)",0
fixed_code,"open('nonexistent.txt', 'r')",0
faulty_code,"d = {'a': 1}
print(d['b'])",1
fixed_code,"a = [1,2,3]
b.append(4)
c = len(b) + 1",0
faulty_code,"my_list = [1,2,3]
new_list = []
for x in my_list:
    new_list.append(x)
print(new_list[0])",1
faulty_code,"numbers = [1, 2, 3]
index = len(numbers)
print(numbers[index])",1
faulty_code,"for i in range(len(list)):
    print(i)",1
fixed_code,"lst = []
if lst:
    max_lst = max(lst)
else:
    max_lst = None",0
faulty_code,"import itertools
for i in range(5):
    my_func = itertools.next(itertools.count())",1
faulty_code,"if x == y:
    print('Equal')
else:
    print('Not Equal')",1
fixed_code,"try:
    with open('nonexistent.txt') as f:
        print(f.read())
except IOError as e:
    print(f'Error: {e}')
",0
fixed_code,"for i in range(5):
    print(i)

for i in range(5):
    print(i)",0
fixed_code,"['fixed short code', 'fixed medium code', 'fixed long code']",0
fixed_code,"lst = [1,2,3]
print(lst[3])",0
fixed_code,my_list = [1]; print(my_list[1]),0
faulty_code,"if x == y:
    print('Equal')
if x != y:
    print('Not Equal')",1
fixed_code,"for i in range(len(arr)):
    arr[i], arr[i+1] = arr[i+1], arr[i]",0
fixed_code,"for i in range(len(data)):
    if i < len(data)-1:
        print(data[i])
    else:
        break",0
faulty_code,"def greet(name):
    return f""Hello, {name}!""",1
fixed_code,"for i in range(5):
    print(i + 1)",0
fixed_code,"def find_element(lst, target):
    for i in range(len(lst)):
        if lst[i] == target:
            return lst[i]
    return None",0
fixed_code,"s = ""test string""
if 'x' in s:
    print(""found"")",0
fixed_code,"x = 0\ny =5\nwhile x < y:\n    if condition:\n        do_something(\nx+1, y-1)\n    x +=1\ny -=1",0
faulty_code,"lst = [1,2];
print(lst[2])",1
fixed_code,"my_list = [1,2,3]; print(my_list[i])",0
faulty_code,"my_list = [1, 2, 3]
my_list.remove(4)
my_list.remove(5)
my_list.pop()",1
faulty_code,"a = 5
b = a + 3
a = b",1
fixed_code,"for i in range(len(nums)-1):
    if nums[i] > 5:
        print('Found a large number')

nums = [1,2,3]
print('The largest number is:', max(nums))",0
fixed_code,"try:
    print(1/0)
except ZeroDivisionError as e:
    print(f'Division by {e.value} is impossible')",0
faulty_code,print = input,1
faulty_code,"try:
    with open('nonexistent.txt', 'r') as f:
        print(f.read())
except FileNotFoundError:
    print('File not found')",1
fixed_code,"[""print('Hello, world!')"", 'for i in range(5): \n    print(i)', ""def greet(name):\n    return f'Hello, {name}!'""]",0
faulty_code,"a = [1,2,3]
a[3] = 'x'
print(a)",1
fixed_code,"for i in range(10):
    print(i+1)
print(f'Loop ended after {i} iterations')",0
fixed_code,"for i in range(len(list)):
    if list[i] == 'a' and i < len(list)-1:
        del list[i]

# Now only elements equal to 'a' are removed",0
faulty_code,"numbers = [1, 2, 3]
nums = numbers.copy()
print('Numbers:', nums)",1
fixed_code,"d = {'a':1}
p = d.get('a', 0)",0
faulty_code,"for i in range(len(numbers)):
    print(numbers[i])",1
fixed_code,"import time
while True:
    print('Waiting...')
    time.sleep(1)
    if some_condition: # Fixed the typo to 'some_condition'
        break",0
faulty_code,"def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n - 1) + n",1
fixed_code,"['for i in range(5):', '    print(i)', ""print('Hello, World!')"", 'break']",0
faulty_code,"s = 'Hello World'
if s.islower():
    print('Lowercase')",1
faulty_code,"try:
    open('nonexistentfile.txt')
except:
    print('File not found')",1
fixed_code,"n = 5
m = '6'
print(int(m) + n)",0
fixed_code,"for i in range(2,10,1):",0
faulty_code,"s = 'hello'
slice = s[2:3]
print(slice)",1
fixed_code,"for i in range(10):
    print(i)

print('Loop completed')
",0
fixed_code,"my_list = [1,2,3]
my_list[0] = 4",0
faulty_code,"for i in range(len(list)):
    list.append(list[i])",1
faulty_code,"my_list = [1, 2, 3]
my_list[2] = 4
print(my_list)",1
fixed_code,for i in range(6): if i < 5: print(i),0
fixed_code,"for i in range(9):<br/>
    print(i)",0
fixed_code,"for i in range(10):
    print(i+1)
print('Loop completed', end='\n')
",0
faulty_code,"import os
os.path.join('..', 'data.csv')",1
faulty_code,"for i in range(10):
    print(i",1
fixed_code,"a = 42
b = a
print(a)",0
fixed_code,"def factorial(n):
    if n <= 0:
        return 1
    else:
        return n * factorial(n - 1)",0
fixed_code,"[""print('Hello, world!')"", 'import math\nn = int(input())\nprint(math.sqrt(n))', ""\\n'.replace(r'\\n', r'\\\\')""]",0
fixed_code,"['short_fixed', 'medium_fixed', 'long_fixed']",0
fixed_code,"def outer_func(s): 
    def inner_func():
        print(f'{s} hello')
    return inner_func
outer_func('world')",0
faulty_code,"a = [1,2,3]
b = a[4:6]",1
faulty_code,"data = {'key': [1,2,3]}",1
faulty_code,"my_list = [1,2,3]

for i in range(len(my_list)):
    if my_list[i] % 2 == 0:
        print('Even number found: ' + str(my_list[i])
",1
fixed_code,"try:
    f = open('nonexistent.txt', 'r')
    data = f.read()
    print(data)
except FileNotFoundError as e:
    print(f'Error: {e}')
",0
fixed_code,"def fact(n):
    if n == 0 or n == 1:
        return 1
    else:
        return n * fact(n-1)

fact(3)",0
faulty_code,"s = 'hello
world'; print(s)",1
faulty_code,"for i in range(5):
    print(i)
print(i+1)

# Medium length: A list comprehension with a logical error
my_list = [x for x in range(10) if x%2==0]
print(my_list[0])

# Long length: A function with variable name and logic errors
def calculate_average(numbers):
    sum_numbers = 0
    count = 0
    for num in numbers:
        sum_numbers += num
        count +=1
    if count ==0:
        return None
    else:
        average = sum_numbers / count
        print(average)
",1
faulty_code,for i in range(10):\n    print(i+1),1
faulty_code,"my_list = [1, 2, 3]
fixed_index = [i for i in my_list if i > 2] # This will throw a TypeError because you can't iterate over integers",1
fixed_code,"s = [1,2]; print(s[:4])",0
faulty_code,...,1
fixed_code,"try:
    print(1/0)
except ZeroDivisionError as e:
    print(f'Divided by zero: {e}')
",0
fixed_code,for i in range(len(arr)-1): print(arr[i+1]),0
faulty_code,"for i in range(len(items) - 1):
    print(items[i])",1
fixed_code,try: for i in range(len(lst)): print(lst[i]) except IndexError: pass,0
faulty_code,"for i in range(10):
    print(i)
print(""Loop ended"")

my_list = [1,2,3]
for i in range(len(my_list)):
    print(my_list[i])
print(my_list[5])",1
faulty_code,"for i in range(len(lst)-1):
    print(lst[i])",1
faulty_code,"for i in range(10):
    if i ==5:
        break",1
fixed_code,"try:
    print(1/0)
except ZeroDivisionError as e:
    print(f'division by zero occurred: {e}')
",0
faulty_code,"import csv

with open('data.csv', 'r') as file:
    reader = csv.reader(file)
    next(reader)
    for row in reader:
        print(row[0], row[1])",1
faulty_code,"for i in range(1, n):
    print(i)
n",1
faulty_code,"for i in range(2,10):",1
